,cluster
alpha001,2
alpha002,2
alpha003,4
alpha004,2
alpha005,0
alpha006,4
alpha007,2
alpha008,2
alpha009,7
alpha010,2
alpha011,2
alpha012,2
alpha013,6
alpha014,4
alpha015,6
alpha016,6
alpha017,2
alpha018,3
alpha019,2
alpha020,2
alpha021,2
alpha022,6
alpha023,2
alpha024,2
alpha025,2
alpha026,2
alpha027,2
alpha028,2
alpha029,2
alpha030,2
alpha031,2
alpha032,2
alpha033,3
alpha034,2
alpha035,2
alpha036,2
alpha037,1
alpha038,3
alpha039,2
alpha040,4
alpha041,7
alpha042,0
alpha043,2
alpha044,6
alpha045,2
alpha046,2
alpha047,2
alpha049,2
alpha050,2
alpha051,2
alpha052,2
alpha053,0
alpha054,0
alpha055,2
alpha057,7
alpha060,2
alpha061,2
alpha062,2
alpha064,2
alpha065,2
alpha066,2
alpha068,2
alpha071,2
alpha072,2
alpha073,2
alpha074,2
alpha075,2
alpha077,2
alpha078,2
alpha081,2
alpha083,7
alpha084,2
alpha085,1
alpha086,2
alpha088,5
alpha092,2
alpha094,2
alpha095,2
alpha096,2
alpha098,2
alpha099,2
alpha101,2
