,cluster
alpha001,1
alpha002,3
alpha003,4
alpha004,1
alpha005,3
alpha006,4
alpha007,1
alpha008,1
alpha009,2
alpha010,1
alpha011,5
alpha012,1
alpha013,7
alpha014,4
alpha015,3
alpha016,7
alpha017,1
alpha018,1
alpha019,1
alpha020,3
alpha021,1
alpha022,3
alpha023,1
alpha024,1
alpha025,1
alpha026,3
alpha027,1
alpha028,6
alpha029,1
alpha030,1
alpha031,0
alpha032,1
alpha033,1
alpha034,1
alpha035,5
alpha036,3
alpha037,1
alpha038,1
alpha039,3
alpha040,4
alpha041,2
alpha042,1
alpha043,5
alpha044,7
alpha045,3
alpha046,1
alpha047,5
alpha049,1
alpha050,3
alpha051,1
alpha052,1
alpha053,1
alpha054,1
alpha055,3
alpha057,2
alpha060,1
alpha061,1
alpha062,1
alpha064,1
alpha065,1
alpha066,1
alpha068,1
alpha071,3
alpha072,3
alpha073,1
alpha074,3
alpha075,3
alpha077,1
alpha078,3
alpha081,3
alpha083,2
alpha084,1
alpha085,3
alpha086,1
alpha088,1
alpha092,1
alpha094,1
alpha095,1
alpha096,3
alpha098,1
alpha099,3
alpha101,3
